n_exp,w1,w2,k_value,rho,n_obs,n_hidden,T,original_phrase,attacked_phrase,p_clean,p_att,d2original,exp_util,seconds
0,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['also', 'pakistan', 'expected', 'countries', 'darfur', 'force', 'chavez', 'eastern', 'charges', 'baghdad', 'reports', 'following', 'south', 'following', 'government', 'suicide', 'area', 'six', 'weeks', 'found', 'local', 'energy', 'global', 'expected', 'NUM,NUM,NUM', 'trade', 'baghdad', 'former', 'group', 'past']",0.06834732172362748,0.48498588125395625,0.03333333333333333,4.9699681818235915,3000
1,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['taleban', 'three', 'month', 'energy', 'sunday', 'east', 'weapons', 'others', 'made', 'many', 'seven', 'next', 'nearly', 'islamic', 'washington', 'insurgents', 'control', '""', 'united', 'years', 'suicide', 'country', 'officials', 'north', 'held', 'workers', 'thousands', 'president', 'china', 'reports']",0.06834732172362748,0.8057586080516629,0.06666666666666667,6.611497922555524,3000
2,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['japan', 'said', 'chinese', 'saturday', 'minister', 'party', 'talks', 'department', 'army', 'trade', 'eastern', 'work', 'could', 'peace', 'human', 'talks', 'leaders', ',', 'number', 'elections', 'north', 'central', 'human', 'election', 'day', ""'s"", 'army', 'korea', 'sunday', 'virus']",0.06834732172362748,0.7003767190870778,0.2,10.400686470705985,3000
3,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['killed', 'ministry', ""'s"", 'place', 'u.n.', 'iran', 'reporters', 'western', 'chinese', 'many', 'program', 'south', 'british', 'death', 'japan', 'security', 'islamic', 'rights', 'afghan', 'made', 'north', 'union', 'forces', 'capital', 'iran', 'militant', 'economic', 'later', 'sudan', 'russian']",0.06834732172362748,0.7988317541207575,0.1,7.597645944315942,3000
4,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['former', 'least', 'gaza', 'election', 'thursday', 'states', 'rights', 'began', 'among', 'recent', 'party', 'south', 'korea', 'united', 'chief', 'gaza', 'virus', 'place', 'began', 'died', 'rebels', 'korea', 'work', 'take', 'charges', 'monday', 'expected', 'mr.', 'united', 'early']",0.06834732172362748,0.9702235438568255,0.13333333333333333,8.940457211035536,3000
5,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['made', 'said', 'local', 'leaders', 'washington', 'country', 'baghdad', '(', 'growth', 'china', 'party', 'fighting', 'man', 'help', 'leaders', 'democratic', 'russia', ',', 'central', 'states', 'group', 'others', 'make', 'wednesday', 'economic', 'year', 'venezuela', 'bank', 'month', 'meeting']",0.06834732172362748,0.5393245994654733,0.2,10.078704092934517,3000
6,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['made', 'nation', 'meeting', 'accused', 'tuesday', 'africa', 'talks', '(', 'among', 'made', 'also', 'security', 'korea', ',', 'bomb', ',', 'east', 'four', 'high', 'ago', 'north', 'least', ')', 'north', 'held', 'afghanistan', 'tuesday', 'program', 'war', '.']",0.06834732172362748,0.8692827579022987,0.36666666666666664,15.738584346254445,3000
7,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'accused', 'states', 'countries', 'taleban', 'states', 'talks', 'forces', 'presidential', 'among', ',', 'south', 'agreement', ',', 'japan', ',', 'rights', ',', 'united', 'two', 'north', 'korea', ')', 'north', 'israel', 'french', 'nuclear', 'program', 'charges', 'still']",0.06834732172362748,0.9340252401185978,0.5333333333333333,20.868071395091796,3000
8,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['nation', 'said', 'among', 'hamas', 'tehran', 'NUM,NUM,NUM', 'new', 'arrested', 'among', 'china', 'another', 'east', 'terrorist', 'told', 'japan', 'last', 'eu', ',', 'north', 'used', 'parliament', 'visit', 'sunday', 'russia', 'soldiers', 'border', 'two', 'several', 'made', '.']",0.06834732172362748,0.5441513870811787,0.23333333333333334,11.088174465247471,3000
9,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['meanwhile', 'council', 'among', 'week', 'united', 'near', 'elections', '(', ""'"", 'end', 'tuesday', 'virus', 'korea', 'say', 'elections', 'accused', 'meanwhile', ',', 'agreement', 'set', 'months', 'korea', 'eu', 'three', 'british', 'ago', 'members', 'afghanistan', ')', 'used']",0.06834732172362748,0.8084835388641853,0.2,10.616932282308667,3000
0,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['human', 'said', 'among', 'attack', 'afghanistan', 'party', 'end', 'northern', 'among', 'work', 'town', 'south', 'korea', 'china', 'bird', ',', 'russia', ',', 'united', 'states', 'left', 'two', ')', 'north', 'NUM,NUM,NUM', ""'s"", 'american', 'program', 'government', '.']",0.06834732172362748,0.7382139194405763,0.5333333333333333,20.476416688933508,6000
1,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['recent', 'said', 'later', 'countries', 'baghdad', 'party', 'official', '(', 'NUM.NUM', 'china', ',', 'south', 'korea', ',', 'japan', 'plan', 'russia', 'public', 'confirmed', 'states', 'say', 'thousands', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.6877956548729216,0.6666666666666666,24.375415416170803,6000
2,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'united', 'states', 'talks', '(', 'among', 'union', ',', 'south', 'korea', ',', 'africa', ',', 'russia', ',', 'united', 'states', 'north', 'korea', 'held', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.9764533607370913,0.8333333333333334,29.95291549232458,6000
3,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'united', 'party', 'talks', 'foreign', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'high', 'israel', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', 'country']",0.06834732172362748,0.8197476158922032,0.8333333333333334,29.639458448327346,6000
4,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'u.n.', 'party', 'talks', 'place', 'among', '-', ',', 'report', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'border', ')', 'arrested']",0.06834732172362748,0.7011174366117323,0.8,28.402192194262767,6000
5,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'sunday', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.7685783316207269,0.9666666666666667,33.53717986651668,6000
6,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'wednesday', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.7744452310261649,0.9666666666666667,33.54894798975507,6000
7,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'iraq', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', 'chavez']",0.06834732172362748,0.824196567674194,0.9333333333333333,32.64839669882209,6000
8,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'united', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'secretary', 'program', ')', '.']",0.06834732172362748,0.8200493419429242,0.9333333333333333,32.64004986970846,6000
9,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'bush', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.7289507172983394,0.9666666666666667,33.45780959792707,6000
