n_exp,w1,w2,k_value,rho,n_obs,n_hidden,T,original_phrase,attacked_phrase,p_clean,p_att,d2original,exp_util,seconds
4,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['israel', 'office', 'among', 'countries', 'international', 'official', 'talks', '(', 'says', 'china', 'newspaper', 'major', 'people', ',', 'japan', 'chavez', 'russia', 'many', 'talks', 'states', 'plans', 'province', 'march', 'north', 'korea', 'peace', 'nuclear', 'program', ')', '.']",0.06834732172362554,0.19477355291575282,0.5,76.80521979829491,3000
8,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'nato', 'mr.', 'next', 'authorities', 'terrorist', 'talks', 'party', 'baghdad', 'news', 'pakistani', 'pakistan', 'near', 'agreement', 'japan', 'washington', 'rights', 'hamas', 'say', 'israel', ""'s"", 'korea', '%', 'global', 'weeks', ""'s"", 'india', 'last', 'west', 'held']",0.06834732172362554,0.021194757581640293,0.16666666666666666,26.97879723907218,3000
5,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['palestinian', 'iraq', 'among', 'countries', 'six', 'party', 'talks', 'house', 'among', 'china', 'presidential', 'south', 'korea', ',', 'japan', 'police', 'company', ',', 'united', 'talks', 'north', 'korea', ')', 'north', 'korea', 'town', 'nuclear', 'program', ')', '.']",0.06834732172362554,0.06761420710904745,0.7333333333333333,111.93242814725146,3000
9,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'place', 'arrested', 'statement', 'reported', 'chinese', 'border', 'announced', 'may', 'china', ',', 'trade', 'korea', ',', 'officials', 'rebels', ""'"", 'deal', 'leader', 'called', 'eu', 'korea', ')', 'region', 'korea', 'past', 'wounded', 'blast', '.', 'visit']",0.06834732172362554,0.03606071905740287,0.26666666666666666,41.96395166384786,3000
6,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'fighting', 'country', 'plans', 'six', 'party', 'president', 'agency', 'thursday', 'china', ',', 'south', 'korea', ',', 'japan', 'chavez', 'russia', 'israeli', 'united', 'states', 'north', 'korea', ')', 'north', 'including', ""'s"", 'nuclear', 'program', ')', 'wounded']",0.06834732172362554,0.0794257551118938,0.6666666666666666,101.92056603943105,3000
7,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['another', 'death', 'make', 'countries', 'pakistani', 'president', 'leaders', 'former', 'march', 'korea', 'least', 'gaza', 'ministry', 'authorities', 'released', 'national', 'african', 'january', 'talks', 'early', 'office', 'second', 'meanwhile', 'reporters', 'korea', 'minister', 'minister', 'high', 'attack', 'least']",0.06834732172362554,0.06620626681215651,0.06666666666666667,11.933792451251824,3000
0,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['eastern', 'said', 'among', 'nation', 'six', 'party', 'talks', 'NUMth', 'economy', 'china', 'support', 'reporters', 'set', ',', 'may', ',', 'russia', ',', 'authorities', 'states', 'nations', 'efforts', ')', '(', 'bush', 'japan', 'nuclear', 'program', 'held', 'rebels']",0.06834732172362554,0.06140601644189684,0.4666666666666667,71.93859052726418,3000
1,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'israel', '(', 'among', 'china', 'china', 'south', 'called', 'help', 'seven', 'would', 'department', ',', 'one', 'states', 'health', 'korea', ')', 'saying', 'korea', ""'s"", 'nuclear', 'program', 'prices', '.']",0.06834732172362554,0.08649965291770756,0.6333333333333333,96.91346596903858,3000
2,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['israeli', 'oil', 'among', 'countries', 'six', 'many', 'iraq', '(', 'among', 'china', 'friday', 'south', 'korea', 'flu', 'japan', ',', 'still', ',', 'suicide', 'states', 'four', 'began', ')', 'bird', 'korea', ""'s"", 'nuclear', 'state', 'iraq', '.']",0.06834732172362554,0.056463343269560054,0.5666666666666667,86.94353176294157,3000
3,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'local', 'called', 'south', 'six', 'party', 'talks', 'accused', 'among', 'china', 'prices', 'south', 'american', 'wounded', 'thursday', ',', 'public', ',', 'man', 'meet', 'court', 'bird', ')', 'north', 'korea', 'workers', 'announced', 'made', ')', 'public']",0.06834732172362554,0.09252728944813943,0.43333333333333335,66.90748806363727,3000
7,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.93165593025228,6000
6,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.93167119457556,6000
5,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.93164578021523,6000
9,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.93167503652535,6000
4,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'agency', 'taleban', 'japan', ',', 'russia', ',', 'border', 'states', 'news', 'korea', ')', 'north', 'africa', 'made', 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732015627511,0.8,121.93162563003479,6000
8,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.93168675181192,6000
3,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'union', 'six', 'party', 'talks', '(', 'among', 'support', ',', 'south', 'korea', ',', 'japan', ',', 'russia', 'official', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.10145754426825469,0.9,136.8985434002682,6000
2,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.931631339354,6000
1,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.93167879528517,6000
0,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.93162307645184,6000
7,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.9316949892881,9000
6,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.93169673505278,9000
9,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.93164847158374,9000
5,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.93162881854659,9000
8,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.9316391458943,9000
4,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.93164291149293,9000
3,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.93166113541204,9000
2,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.93163005114712,9000
1,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.93165264174246,9000
0,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']",0.06834732172362748,0.06834732172362748,1.0,151.93164026389243,9000
